"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"09/04/22","1","8","19","31","35","40","15","38"
"02/04/22","1","4","6","15","21","27","19","41"
"26/03/22","2","8","13","21","22","33","10","27"
"19/03/22","10","24","32","34","38","43","6","25"
"12/03/22","4","29","35","37","40","41","21","27"
"05/03/22","2","16","18","19","30","40","9","28"
"26/02/22","3","7","16","23","26","34","17","35"
"19/02/22","1","5","18","20","23","34","9","35"
"12/02/22","13","35","36","37","42","43","5","15"
"05/02/22","2","9","10","11","22","37","6","40"
"29/01/22","8","9","22","23","34","40","13","17"
"22/01/22","1","12","14","21","39","43","19","32"
"15/01/22","3","11","19","33","38","42","13","39"
"08/01/22","3","17","20","24","27","29","9","18"
"31/12/21","8","14","15","20","32","43","31","35"
"25/12/21","6","19","21","30","31","42","15","38"
"18/12/21","1","19","25","29","36","44","21","35"
"11/12/21","6","12","27","35","37","39","2","19"
"04/12/21","8","24","31","39","44","45","21","41"
"27/11/21","3","5","27","34","41","45","10","24"
"20/11/21","9","17","20","21","25","33","4","19"
"13/11/21","17","22","26","29","32","40","12","21"
"06/11/21","11","15","28","30","33","39","19","35"
"30/10/21","4","16","26","29","30","32","37","43"
"23/10/21","9","10","16","22","26","32","17","38"
"16/10/21","2","7","17","26","27","38","1","19"
"09/10/21","18","22","24","34","40","42","19","37"
"02/10/21","13","17","26","28","33","44","18","38"
"25/09/21","6","28","29","33","36","40","26","43"
"18/09/21","5","6","15","18","36","43","24","29"
"11/09/21","8","10","17","23","26","34","36","41"
"04/09/21","14","29","31","33","44","45","19","26"
"28/08/21","17","19","21","22","23","30","32","43"
"21/08/21","6","19","34","35","40","43","22","45"
"14/08/21","3","9","13","19","24","28","29","35"
"07/08/21","5","11","12","22","28","36","1","9"
"31/07/21","13","16","18","32","33","41","9","19"
"24/07/21","12","16","26","27","30","40","13","15"
"17/07/21","2","14","30","32","35","38","10","45"
"10/07/21","22","23","28","30","34","38","16","20"
"03/07/21","2","7","27","33","37","42","10","20"
"26/06/21","1","24","26","32","34","36","7","27"
"19/06/21","12","14","30","34","40","41","15","27"
